company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
facebook1,output164,-1.0,23.0,0.3413635343313217,16.0,0.0684371589480143,12:29:39
facebook1,output165,,,-0.2075029346677992,18.0,-0.0195833405668947,12:30:39
facebook1,output166,,,0.2903596229023403,9.0,-0.0142384833105384,12:31:39
facebook1,output167,-1.0,1.0,0.542721152305603,14.0,0.0372206643936933,12:32:39
facebook1,output168,-1.0,1.0,0.840048298239708,16.0,-0.007105241468641,12:33:39
facebook1,output169,-0.8387096774193549,31.0,-0.0025479674339294,10.0,-0.093591668402976,12:34:39
facebook1,output170,-0.9473684210526316,19.0,-0.2527716606855392,8.0,0.0174533484747841,12:35:39
facebook1,output171,-1.0,16.0,-0.0942423722960732,11.0,-0.0897667196255062,12:36:39
facebook1,output172,-0.9047619047619048,21.0,-0.9920758679509164,8.0,0.0919782572346634,12:37:39
facebook1,output173,-0.9333333333333332,15.0,0.2362605370581149,16.0,-0.1103102322237591,12:38:39
facebook1,output174,,,-0.3208091746677052,11.0,0.0348648719257192,12:39:39
facebook1,output175,,,-0.8729941280264604,19.0,-0.0460818937993985,12:40:39
facebook1,output176,,,-0.3370212266842524,12.0,-0.0309766084347075,12:41:39
facebook1,output177,0.0,1.0,0.4985665792510623,21.0,0.0653557565268154,12:42:39
facebook1,output178,-0.8888888888888888,9.0,0.0823472589254379,8.0,-0.0778787759868183,12:43:39
facebook1,output179,-0.9375,16.0,-0.2997758934895198,12.0,0.0097766786730388,12:44:39
facebook1,output180,-0.8285714285714286,35.0,-0.7887490808963775,10.0,-0.1018900020916387,12:45:39
facebook1,output181,-0.9090909090909092,11.0,-0.2667796828530051,11.0,0.0460102766438772,12:46:39
facebook1,output182,-0.7777777777777778,9.0,-0.2610513893040744,11.0,-0.1089169376192004,12:47:39
facebook1,output183,0.0,1.0,-0.527688377433353,9.0,0.019329284783319,12:48:39
facebook1,output184,,,-0.3279167744848463,9.0,-0.0163392597984867,12:49:39
facebook1,output185,,,-0.4262569963932037,10.0,-0.0093314827281989,12:50:39
facebook1,output186,-0.75,4.0,-0.4561654584748404,7.0,-0.1639214840787564,12:51:39
facebook1,output187,,,-0.4577840930078088,41.0,0.0015569272081203,12:52:39
facebook1,output188,-0.3333333333333333,3.0,0.1038648221227858,18.0,-0.0610999097717003,12:53:39
facebook1,output189,,,-0.5440399779213799,9.0,0.0062754569992352,12:54:39
facebook1,output190,-0.3333333333333333,9.0,-0.3884835243225097,7.0,0.0891676820281676,12:55:39
facebook1,output191,,,0.3666972915331523,15.0,-0.0429334951652508,12:56:39
facebook1,output192,,,-0.0100585420926412,6.0,-0.0484227293353448,12:57:39
facebook1,output193,,,-0.6028365254402159,5.0,-0.0180879544087059,12:58:39
facebook1,output194,,,0.1940725684165954,5.0,0.2567898615537696,12:59:39
facebook1,output195,,,0.4480217830701308,22.0,0.0439820984840316,13:00:39
facebook1,output196,,,0.1083244615130954,9.0,0.2348468720616714,13:01:39
facebook1,output197,,,0.2107736605864305,13.0,0.0355409112254951,13:02:39
